ACCELERATION,BRAKE,STEERING,SPEED,TRACK_POSITION,ANGLE_TO_TRACK_AXIS,TRACK_EDGE_0,TRACK_EDGE_1,TRACK_EDGE_2,TRACK_EDGE_3,TRACK_EDGE_4,TRACK_EDGE_5,TRACK_EDGE_6,TRACK_EDGE_7,TRACK_EDGE_8,TRACK_EDGE_9,TRACK_EDGE_10,TRACK_EDGE_11,TRACK_EDGE_12,TRACK_EDGE_13,TRACK_EDGE_14,TRACK_EDGE_15,TRACK_EDGE_16,TRACK_EDGE_17,TRACK_EDGE_18
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,0.566403,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,1.64351,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,2.64535,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,3.84546,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,4.97695,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,6.10467,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
1,0,0,7.0727,0.333334,3.02E-07,3.99999,4.0617,4.2567,4.6188,5.22162,6.22289,7.99999,11.6952,23.0351,200,46.0701,23.3904,16,12.4458,10.4433,9.23761,8.51343,8.12342,8.00001
