SPEED,TRACK_POSITION,ANGLE_TO_TRACK_AXIS,TRACK_EDGE_0,TRACK_EDGE_1,TRACK_EDGE_2,TRACK_EDGE_3,TRACK_EDGE_4,TRACK_EDGE_5,TRACK_EDGE_6,TRACK_EDGE_7,TRACK_EDGE_8,TRACK_EDGE_9,TRACK_EDGE_10,TRACK_EDGE_11,TRACK_EDGE_12,TRACK_EDGE_13,TRACK_EDGE_14,TRACK_EDGE_15,TRACK_EDGE_16,TRACK_EDGE_17,TRACK_EDGE_18,ACCELERATION,BRAKE,STEERING
61.657526270234925,-0.45650008317684243,-0.32339194866224286,7.455362108501728,7.337775607287901,7.322512266623634,7.466952252460686,7.706397169026446,8.3505318183882,9.420097450728129,11.634636999242042,18.749415139244995,41.69779466519725,29.528056773598582,19.67196256588509,12.290278532461643,7.9378967960655,5.63346684977454,4.325508210414927,3.5991111333433135,3.1192142507694034,2.850191048703344,1.0,0.0,-0.0119982447878761
62.15811902749489,-0.4287117405946761,-0.278739298321194,7.319006355965977,7.152128045254133,7.174228614932045,7.289211751106814,7.5483715826206055,8.230251012743404,9.443433373547101,11.873930553646735,47.64037563188618,39.647100544882846,27.834748364310094,18.542569015280495,11.824872519745057,7.914701397781376,5.718036703017314,4.487249079757209,3.800836105659079,3.340271655722318,3.0562343774493774,1.0,0.0,0.3652837622451078
62.648624067811404,-0.3872997165652768,-0.293494162861606,7.133820763203519,7.0071535853158355,6.9423324687589565,7.069949368779577,7.428872112654879,8.164472298327494,9.428821512833673,12.1913867462672,46.407773081137336,37.41792008817541,26.23594073372319,17.49871959956149,11.404231546164104,7.861183143433395,5.814126822894218,4.639813183066923,3.9715147180725685,3.5060164271097563,3.2058282099573225,1.0,0.0,0.3672553486983269
63.24792180404875,-0.3288688073335707,-0.26278202640426046,7.002328229928469,6.799287944402278,6.786334377230731,6.897994269020585,7.272625452247517,8.007927767627363,9.43531810800481,12.510104796723084,45.37295071637963,35.639520561962264,25.11262490342909,16.872252167652416,11.174600241481171,7.847618118637254,5.971693820532057,4.844302739473766,4.09769410442926,3.691952868962236,3.42338289186376,1.0,0.0,0.368832813805665
63.940899193883254,-0.343520474540812,-0.3321469017750779,6.796669988426478,6.667289635616665,6.592480174539523,6.731476445591848,7.129573509297287,7.906689150922754,9.355281965011795,12.666070357469506,44.466494456338566,34.33031274060366,24.259582791608953,16.39600825005414,11.10700467070313,7.972132060383532,6.1042534053043855,5.039442467874233,4.321123073983941,3.8919793957589692,3.6116141742623467,1.0,0.0,0.3698343885005477
64.62418185410147,-0.26213801671011155,-0.34740118060072134,6.655048361569487,6.433473738784956,6.3700718912951215,6.569904229185678,6.980126694623693,7.772339251519566,9.288318757692146,12.739776830159574,43.62468800547161,33.338618970288394,23.6776791239198,16.181481375708227,11.102681748685612,8.08704642563433,6.300816696776111,5.1533729514619475,4.465017585939125,4.063686058284186,3.789006394494592,1.0,0.0,0.3705006164058795
65.42867873172952,-0.22662934517805713,-0.2899254433173689,6.471967525147835,6.2593575522068186,6.216023949434924,6.365874527813122,6.80213140230211,7.656206070842351,9.190518732242879,12.840628453292986,42.936035585035285,32.631004195321495,23.259411211460083,15.982239338111336,11.159486919965406,8.213246885379567,6.466993147741283,5.374535219294717,4.648580735504523,4.2827560389920585,3.983376249953561,1.0,0.0,0.3709257848348943
66.30640203779605,-0.17641951468957906,-0.322683123322336,6.284016896834439,6.09139656967616,6.038248928120623,6.1759112141225225,6.633774599927564,7.474992383379356,9.058814355549568,12.79106783998165,42.34615979704639,32.038216680435625,22.96736477274762,15.90264705898623,11.270326605564557,8.38438867653115,6.636530673257447,5.540204344937142,4.872609344706599,4.466255166410877,4.125348403736887,1.0,0.0,0.3711442529587096
67.24062936870816,-0.1711014981009848,-0.2560711507025182,6.089067760707332,5.880031410228713,5.866336411336028,5.996436469090469,6.4931330305488855,7.341957140941015,8.865243467952206,12.681066244924477,41.8996934690418,31.707498960885154,22.749259703198565,15.930635284890611,11.385380896503023,8.52876955290606,6.811300182264652,5.738661600020398,5.060181353498155,4.578296664884743,4.323275983456357,1.0,0.0,0.3711672393286635
67.76175046409648,-0.08585996756712938,-0.24786601061643218,5.951625640916762,5.675365485995078,5.670087202332969,5.891690227089149,6.3086263148925195,7.144134028268235,8.661328630967864,12.465768753083152,41.57411793523663,31.587046387964794,22.792891840557296,16.077673135231066,11.553087906455708,8.789980403477058,7.034565807864331,5.923444185562093,5.238866426295767,4.787409972924968,4.495298671522646,1.0,0.0,0.3708891011917093
67.89383824611365,-0.09523157821548826,-0.30561827451342116,5.713411709953755,5.547340322106118,5.547254878291584,5.6480448362300795,6.128409119244867,6.942386939565118,8.406845894587633,11.996508805521701,41.472868076602296,31.91256618002258,23.054309280218042,16.36117814480871,11.882541625236307,9.027907914157307,7.2615752173726005,6.106664981605905,5.372142000109018,4.970414112723686,4.638114752344145,1.0,0.0,0.3701208233707316
67.98548324772271,-0.0600036987001019,-0.27799439979528445,5.624355782452244,5.340763939485926,5.34338348563756,5.5666824496638965,5.938158337015994,6.7361546214927746,8.109285484083626,11.337532140594865,41.634823525962396,32.58368008907856,23.517274533396396,16.810731159329084,12.258206368884844,9.364643009829853,7.532134381778976,6.3509093918508155,5.6062026888747285,5.12645585582144,4.820029195931461,1.0,0.0,0.3689184951063472
68.07505895395063,-0.02094590480436423,-0.29966500517621836,5.4764025939100796,5.217436442797105,5.225170247502986,5.367452433324815,5.75037275662033,6.428176001409339,7.798994514865576,10.712329164206524,41.80673288841262,33.51123185311381,24.131611726519314,17.379473764487642,12.66320008845636,9.658977498744896,7.817769330818076,6.570235177904687,5.799534596532215,5.301851336296013,4.95849714147447,1.0,0.0,0.3673743007814982
68.10935364967911,-0.04316898630712303,-0.25553445833338406,5.344970129567039,5.0663005847690545,5.102677292870328,5.238715205125631,5.539684180011557,6.244255586613894,7.462465210455878,10.113212833202562,41.991415596803904,34.43510018616165,24.717757941322958,17.948672915469082,13.107068088412696,10.050824333683474,8.07813590123139,6.82514291163156,5.959133671735265,5.425855824213544,5.115713610252121,1.0,0.0,0.3659274370951492
